,GeneID,Symbol,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene
20902,283948,NHLRC4,-,HGNC:HGNC:26700|Ensembl:ENSG00000257108,16,16p13.3,NHL repeat containing 4,protein-coding
20903,283951,C16orf91,CCSMST1|URLC5|gs103,HGNC:HGNC:27558|Ensembl:ENSG00000174109,16,16p13.3,chromosome 16 open reading frame 91,protein-coding
20904,283953,TMEM114,-,MIM:611579|HGNC:HGNC:33227|Ensembl:ENSG00000232258,16,16p13.2,transmembrane protein 114,protein-coding
20906,283970,PDXDC2P-NPIPB14P,-,Ensembl:ENSG00000196696,16,16q22.1,nuclear pore complex-interacting protein,pseudo
20907,283971,CLEC18C,MRCL|MRCL3,MIM:616573|HGNC:HGNC:28538|Ensembl:ENSG00000157335,16,16q22.1,C-type lectin domain family 18 member C,protein-coding
20910,283985,FADS6,FP18279,HGNC:HGNC:30459|Ensembl:ENSG00000172782,17,17q25.1,fatty acid desaturase 6,protein-coding
20911,283987,HID1,17orf28|C17orf28|DMC1|HID-1,MIM:605752|HGNC:HGNC:15736|Ensembl:ENSG00000167861,17,17q25.1,HID1 domain containing,protein-coding
20912,283989,TSEN54,PCH2A|PCH4|PCH5|SEN54L|sen54,MIM:608755|HGNC:HGNC:27561|Ensembl:ENSG00000182173,17,17q25.1,tRNA splicing endonuclease subunit 54,protein-coding
20913,283991,UBALD2,FAM100B,HGNC:HGNC:28438|Ensembl:ENSG00000185262,17,17q25.1,UBA like domain containing 2,protein-coding
20916,284001,CCDC57,-,HGNC:HGNC:27564|Ensembl:ENSG00000176155,17,17q25.3,coiled-coil domain containing 57,protein-coding
20917,284004,HEXD,HEXDC,MIM:616864|HGNC:HGNC:26307|Ensembl:ENSG00000169660,17,17q25.3,hexosaminidase D,protein-coding
20921,284021,MILR1,Allergin-1|C17orf60|MCA-32|MCA32,HGNC:HGNC:27570|Ensembl:ENSG00000271605,17,17q23.3,mast cell immunoglobulin like receptor 1,protein-coding
20923,284029,LINC00324,C17orf44|NCRNA00324,HGNC:HGNC:26628|Ensembl:ENSG00000178977,17,17p13.1,long intergenic non-protein coding RNA 324,ncRNA
20925,284040,CDRT4,-,HGNC:HGNC:14383|Ensembl:ENSG00000239704,17,17p12,CMT1A duplicated region transcript 4,protein-coding
20926,284047,CCDC144B,-,HGNC:HGNC:26704|Ensembl:ENSG00000154874,17,17p11.2,coiled-coil domain containing 144B (pseudogene),pseudo
20927,284058,KANSL1,CENP-36|KDVS|KIAA1267|MSL1v1|NSL1|hMSL1v1,MIM:612452|HGNC:HGNC:24565|Ensembl:ENSG00000120071,17,17q21.31,KAT8 regulatory NSL complex subunit 1,protein-coding
20929,284067,CFAP97D1,C17orf105,HGNC:HGNC:37241|Ensembl:ENSG00000231256,17,17q21.31,CFAP97 domain containing 1,protein-coding
20930,284069,FAM171A2,-,HGNC:HGNC:30480|Ensembl:ENSG00000161682,17,17q21.31,family with sequence similarity 171 member A2,protein-coding
20931,284071,MEIOC,C17orf104,MIM:616934|HGNC:HGNC:26670|Ensembl:ENSG00000180336,17,17q21.31,meiosis specific with coiled-coil domain,protein-coding
20932,284076,TTLL6,TTL.6,MIM:610849|HGNC:HGNC:26664|Ensembl:ENSG00000170703,17,17q21.32,tubulin tyrosine ligase like 6,protein-coding
20935,284086,NEK8,JCK|NEK12A|NPHP9|RHPD2,MIM:609799|HGNC:HGNC:13387|Ensembl:ENSG00000160602,17,17q11.2,NIMA related kinase 8,protein-coding
20936,284098,PIGW,Gwt1|HPMRS5,MIM:610275|HGNC:HGNC:23213|Ensembl:ENSG00000277161,17,17q12,phosphatidylinositol glycan anchor biosynthesis class W,protein-coding
20937,284099,C17orf78,-,HGNC:HGNC:26831|Ensembl:ENSG00000278505,17,17q12,chromosome 17 open reading frame 78,protein-coding
20939,284106,CISD3,MiNT|Miner2,MIM:611933|HGNC:HGNC:27578|Ensembl:ENSG00000277972,17,17q12,CDGSH iron sulfur domain 3,protein-coding
20940,284110,GSDMA,FKSG9|GSDM|GSDM1,MIM:611218|HGNC:HGNC:13311|Ensembl:ENSG00000167914,17,17q21.1,gasdermin A,protein-coding
20941,284111,SLC13A5,EIEE25|INDY|NACT|mIndy,MIM:608305|HGNC:HGNC:23089|Ensembl:ENSG00000141485,17,17p13.1,solute carrier family 13 member 5,protein-coding
20942,284114,TMEM102,CBAP,MIM:613936|HGNC:HGNC:26722|Ensembl:ENSG00000181284,17,17p13.1,transmembrane protein 102,protein-coding
20944,284119,CAVIN1,CAVIN|CGL4|FKSG13|PTRF|cavin-1,MIM:603198|HGNC:HGNC:9688|Ensembl:ENSG00000177469,17,17q21.2,caveolae associated protein 1,protein-coding
20947,284129,SLC26A11,-,MIM:610117|HGNC:HGNC:14471|Ensembl:ENSG00000181045,17,17q25.3,solute carrier family 26 member 11,protein-coding
20948,284131,ENDOV,-,HGNC:HGNC:26640|Ensembl:ENSG00000173818,17,17q25.3,endonuclease V,protein-coding
20949,284161,GDPD1,GDE4,MIM:616317|HGNC:HGNC:20883|Ensembl:ENSG00000153982,17,17q22,glycerophosphodiester phosphodiesterase domain containing 1,protein-coding
20951,284184,NDUFAF8,C17orf89,MIM:618461|HGNC:HGNC:33551|Ensembl:ENSG00000224877,17,17q25.3,NADH:ubiquinone oxidoreductase complex assembly factor 8,protein-coding
20952,284185,LINC00482,C17orf55,HGNC:HGNC:26816,17,17q25.3,long intergenic non-protein coding RNA 482,ncRNA
20955,284194,LGALS9B,-,HGNC:HGNC:24842|Ensembl:ENSG00000170298,17,17p11.2,galectin 9B,protein-coding
20958,284207,METRNL,-,MIM:616241|HGNC:HGNC:27584|Ensembl:ENSG00000176845,17,17q25.3,"meteorin like, glial cell differentiation regulator",protein-coding
20960,284217,LAMA1,LAMA|PTBHS|S-LAM-alpha,MIM:150320|HGNC:HGNC:6481|Ensembl:ENSG00000101680,18,18p11.31,laminin subunit alpha 1,protein-coding
20966,284252,KCTD1,C18orf5,MIM:613420|HGNC:HGNC:18249|Ensembl:ENSG00000134504,18,18q11.2,potassium channel tetramerization domain containing 1,protein-coding
20968,284257,BOD1L2,BOD1P|FAM44C,HGNC:HGNC:28505|Ensembl:ENSG00000228075,18,18q21.31,biorientation of chromosomes in cell division 1 like 2,protein-coding
20972,284273,ZADH2,PRG-3,HGNC:HGNC:28697|Ensembl:ENSG00000180011,18,18q22.3,zinc binding alcohol dehydrogenase domain containing 2,protein-coding
20973,284274,SMIM21,C18orf62,HGNC:HGNC:27598|Ensembl:ENSG00000206026,18,18q23,small integral membrane protein 21,protein-coding
20974,284276,LINC00908,-,HGNC:HGNC:27599|Ensembl:ENSG00000266256,18,18q23,long intergenic non-protein coding RNA 908,ncRNA
20978,284297,SSC5D,S5D-SRCRB,MIM:618194|HGNC:HGNC:26641|Ensembl:ENSG00000179954,19,19q13.42,scavenger receptor cysteine rich family member with 5 domains,protein-coding
20979,284306,ZNF547,MIP-2A|SEDLP1|TRAPPC2.19|TRAPPC2B|TRAPPC2P1,HGNC:HGNC:26432|Ensembl:ENSG00000152433,19,19q13.43,zinc finger protein 547,protein-coding
20980,284307,ZIK1,ZNF762,HGNC:HGNC:33104|Ensembl:ENSG00000171649,19,19q13.43,zinc finger protein interacting with K protein 1,protein-coding
20981,284309,ZNF776,-,HGNC:HGNC:26765|Ensembl:ENSG00000152443,19,19q13.43,zinc finger protein 776,protein-coding
20982,284312,ZSCAN1,MZF-1|ZNF915,HGNC:HGNC:23712|Ensembl:ENSG00000152467,19,19q13.43,zinc finger and SCAN domain containing 1,protein-coding
20983,284323,ZNF780A,ZNF780,HGNC:HGNC:27603|Ensembl:ENSG00000197782,19,19q13.2,zinc finger protein 780A,protein-coding
20984,284325,C19orf54,-,HGNC:HGNC:24758|Ensembl:ENSG00000188493,19,19q13.2,chromosome 19 open reading frame 54,protein-coding
20985,284338,PRR19,-,HGNC:HGNC:33728|Ensembl:ENSG00000188368,19,19q13.2,proline rich 19,protein-coding
20986,284339,TMEM145,-,HGNC:HGNC:26912|Ensembl:ENSG00000167619,19,19q13.2,transmembrane protein 145,protein-coding
20987,284340,CXCL17,DMC|Dcip1|UNQ473|VCC-1|VCC1,MIM:611387|HGNC:HGNC:19232|Ensembl:ENSG00000189377,19,19q13.2,C-X-C motif chemokine ligand 17,protein-coding
20989,284346,ZNF575,-,HGNC:HGNC:27606|Ensembl:ENSG00000176472,19,19q13.31,zinc finger protein 575,protein-coding
20990,284348,LYPD5,PRO4356,HGNC:HGNC:26397|Ensembl:ENSG00000159871,19,19q13.31,LY6/PLAUR domain containing 5,protein-coding
20992,284352,PPP1R37,LRRC68,HGNC:HGNC:27607|Ensembl:ENSG00000104866,19,19q13.32,protein phosphatase 1 regulatory subunit 37,protein-coding
20993,284353,NKPD1,-,HGNC:HGNC:24739,19,19q13.32,NTPase KAP family P-loop domain containing 1,protein-coding
20994,284355,TPRX1,TPRX,MIM:611166|HGNC:HGNC:32174|Ensembl:ENSG00000178928,19,19q13.33,tetrapeptide repeat homeobox 1,protein-coding
20995,284358,MAMSTR,MASTR,MIM:610349|HGNC:HGNC:26689|Ensembl:ENSG00000176909,19,19q13.33,MEF2 activating motif and SAP domain containing transcriptional regulator,protein-coding
20996,284359,IZUMO1,IZUMO|OBF,MIM:609278|HGNC:HGNC:28539|Ensembl:ENSG00000182264,19,19q13.33,izumo sperm-egg fusion 1,protein-coding
20997,284361,EMC10,C19orf63|HSM1|HSS1,MIM:614545|HGNC:HGNC:27609|Ensembl:ENSG00000161671,19,19q13.33,ER membrane protein complex subunit 10,protein-coding
20998,284365,LINC01869,-,HGNC:HGNC:25050|Ensembl:ENSG00000180279,19,19q13.33,long intergenic non-protein coding RNA 1869,ncRNA
20999,284366,KLK9,KLK-L3|KLKL3,MIM:605504|HGNC:HGNC:6370|Ensembl:ENSG00000213022,19,19q13.41,kallikrein related peptidase 9,protein-coding
21000,284367,SIGLEC17P,HSPC078|SIGLECP2|SIGLECP3,HGNC:HGNC:15604|Ensembl:ENSG00000171101,19,19q13.41,"sialic acid binding Ig like lectin 17, pseudogene",pseudo
21001,284369,SIGLECL1,C19orf75|SIGLEC23P|SIGLECP7,HGNC:HGNC:26856|Ensembl:ENSG00000179213,19,19q13.41,SIGLEC family like 1,protein-coding
21002,284370,ZNF615,-,HGNC:HGNC:24740|Ensembl:ENSG00000197619,19,19q13.41,zinc finger protein 615,protein-coding
21005,284382,ACTL9,HSD21,HGNC:HGNC:28494|Ensembl:ENSG00000181786,19,19p13.2,actin like 9,protein-coding
21008,284390,ZNF763,ZNF|ZNF440L,HGNC:HGNC:27614|Ensembl:ENSG00000197054,19,19p13.2,zinc finger protein 763,protein-coding
21009,284391,ZNF844,-,HGNC:HGNC:25932|Ensembl:ENSG00000223547|Ensembl:ENSG00000286098,19,19p13.2,zinc finger protein 844,protein-coding
21012,284402,SCGB2B2,SCGB4A2|SCGBL,MIM:615063|HGNC:HGNC:27616|Ensembl:ENSG00000205209,19,19q13.11,secretoglobin family 2B member 2,protein-coding
21013,284403,WDR62,C19orf14|MCPH2,MIM:613583|HGNC:HGNC:24502|Ensembl:ENSG00000075702,19,19q13.12,WD repeat domain 62,protein-coding
21017,284415,VSTM1,SIRL-1|SIRL1|UNQ3033,MIM:616804|HGNC:HGNC:29455|Ensembl:ENSG00000189068,19,19q13.42,V-set and transmembrane domain containing 1,protein-coding
21019,284418,FAM71E2,C19orf16,HGNC:HGNC:25278|Ensembl:ENSG00000180043,19,19q13.42,family with sequence similarity 71 member E2,protein-coding
21020,284422,SMIM24,C19orf77|HSPC323|MARDI,HGNC:HGNC:37244|Ensembl:ENSG00000095932,19,19p13.3,small integral membrane protein 24,protein-coding
21021,284424,MIR7-3HG,C19orf30|Huh7|LINC00306|NCRNA00306|PGSF1|uc002mbe.2,HGNC:HGNC:30049|Ensembl:ENSG00000176840,19,19p13.3,MIR7-3 host gene,ncRNA
21022,284427,SLC25A41,APC4,MIM:610822|HGNC:HGNC:28533|Ensembl:ENSG00000181240,19,19p13.3,solute carrier family 25 member 41,protein-coding
21025,284434,NWD1,-,MIM:616250|HGNC:HGNC:27619|Ensembl:ENSG00000188039,19,19p13.11,NACHT and WD repeat domain containing 1,protein-coding
21026,284439,SLC25A42,MECREN,MIM:610823|HGNC:HGNC:28380|Ensembl:ENSG00000181035,19,19p13.11,solute carrier family 25 member 42,protein-coding
21027,284440,LINC00663,-,MIM:617117|HGNC:HGNC:28609,19,19p13.11,long intergenic non-protein coding RNA 663,ncRNA
21029,284443,ZNF493,-,HGNC:HGNC:23708|Ensembl:ENSG00000196268,19,19p12,zinc finger protein 493,protein-coding
21030,284451,ODF3L2,C19orf19,HGNC:HGNC:26841|Ensembl:ENSG00000181781,19,19p13.3,outer dense fiber of sperm tails 3 like 2,protein-coding
21033,284467,TAFA3,FAM19A3|TAFA-3,MIM:617497|HGNC:HGNC:21590|Ensembl:ENSG00000184599,1,1p13.2,TAFA chemokine like family member 3,protein-coding
21034,284485,RIIAD1,C1orf230|NCRNA00166,HGNC:HGNC:26686|Ensembl:ENSG00000178796,1,1q21.3,regulatory subunit of type II PKA R-subunit domain containing 1,protein-coding
21035,284486,THEM5,ACOT15,MIM:615653|HGNC:HGNC:26755|Ensembl:ENSG00000196407,1,1q21.3,thioesterase superfamily member 5,protein-coding
21037,284521,OR2L13,OR2L14,HGNC:HGNC:19578|Ensembl:ENSG00000196071,1,1q44,olfactory receptor family 2 subfamily L member 13,protein-coding
21040,284541,CYP4A22,-,MIM:615341|HGNC:HGNC:20575|Ensembl:ENSG00000162365,1,1p33,cytochrome P450 family 4 subfamily A member 22,protein-coding
21044,284565,NBPF15,AB14|AG3|NBPF16,MIM:610414|MIM:614005|HGNC:HGNC:28791|Ensembl:ENSG00000266338,1,1q21.1,NBPF member 15,protein-coding
21052,284611,FAM102B,SYM-3B,HGNC:HGNC:27637|Ensembl:ENSG00000162636,1,1p13.3,family with sequence similarity 102 member B,protein-coding
21053,284612,SYPL2,MG29,HGNC:HGNC:27638|Ensembl:ENSG00000143028,1,1p13.3,synaptophysin like 2,protein-coding
21054,284613,CYB561D1,-,HGNC:HGNC:26804|Ensembl:ENSG00000174151,1,1p13.3,cytochrome b561 family member D1,protein-coding
21055,284615,ANKRD34A,ANKRD34,HGNC:HGNC:27639|Ensembl:ENSG00000272031,1,1q21.1,ankyrin repeat domain 34A,protein-coding
21056,284618,RUSC1-AS1,C1orf104,HGNC:HGNC:26680|Ensembl:ENSG00000225855,1,1q22,RUSC1 antisense RNA 1,ncRNA
21061,284654,RSPO1,CRISTIN3|RSPO,MIM:609595|HGNC:HGNC:21679|Ensembl:ENSG00000169218,1,1p34.3,R-spondin 1,protein-coding
21062,284656,EPHA10,-,MIM:611123|HGNC:HGNC:19987|Ensembl:ENSG00000183317,1,1p34.3,EPH receptor A10,protein-coding
21065,284677,SNHG28,C1orf204|VSIG8-OT1,HGNC:HGNC:27647|Ensembl:ENSG00000256029,1,1q23.2,small nucleolar RNA host gene 28,ncRNA
21066,284680,SPATA46,C1orf111|HSD20,MIM:617257|HGNC:HGNC:27648|Ensembl:ENSG00000171722,1,1q23.3,spermatogenesis associated 46,protein-coding
21069,284695,ZNF326,ZAN75|ZIRD|Zfp326|dJ871E2.1,MIM:614601|HGNC:HGNC:14104|Ensembl:ENSG00000162664,1,1p22.2,zinc finger protein 326,protein-coding
21071,284716,RIMKLA,FAM80A|NAAGS|NAAGS-II,HGNC:HGNC:28725|Ensembl:ENSG00000177181,1,1p34.2,ribosomal modification protein rimK like family member A,protein-coding
21072,284723,SLC25A34,-,MIM:610817|HGNC:HGNC:27653|Ensembl:ENSG00000162461,1,1p36.21,solute carrier family 25 member 34,protein-coding
21073,284729,ESPNP,dJ1182A14.1,HGNC:HGNC:23285,1,1p36.13,espin pseudogene,pseudo
21074,284739,C20orf204,LINC00176|NCRNA00176|PRR17,HGNC:HGNC:27655|Ensembl:ENSG00000196421,20,20q13.33,chromosome 20 open reading frame 204,protein-coding
21081,284788,LOC284788,-,Ensembl:ENSG00000204684,20,20p11.21,uncharacterized LOC284788,ncRNA
21085,284802,FRG1BP,C20orf80|FRG1B|bA348I14.2,HGNC:HGNC:15792,20,20q11.1,"FSHD region gene 1 family member B, pseudogene",pseudo
21086,284805,C20orf203,-,HGNC:HGNC:26592|Ensembl:ENSG00000198547,20,20q11.21,chromosome 20 open reading frame 203,protein-coding
21089,284827,KRTAP13-4,KAP13.4,HGNC:HGNC:18926|Ensembl:ENSG00000186971,21,21q22.11,keratin associated protein 13-4,protein-coding
21091,284836,LINC00319,C21orf125|NCRNA00319|PRED49,HGNC:HGNC:19730|Ensembl:ENSG00000188660,21,21q22.3,long intergenic non-protein coding RNA 319,ncRNA
21092,284837,AATBC,-,HGNC:HGNC:51526|Ensembl:ENSG00000215458,21,21q22.3,apoptosis associated transcript in bladder cancer,ncRNA
21097,284904,SEC14L4,TAP3,MIM:612825|HGNC:HGNC:20627|Ensembl:ENSG00000133488,22,22q12.2,SEC14 like lipid binding 4,protein-coding
21102,284948,SH2D6,-,HGNC:HGNC:30439|Ensembl:ENSG00000152292,2,2p11.2,SH2 domain containing 6,protein-coding
21106,284992,CCDC150,-,HGNC:HGNC:26834|Ensembl:ENSG00000144395,2,2q33.1,coiled-coil domain containing 150,protein-coding
21107,284996,RNF149,DNAPTP2,HGNC:HGNC:23137|Ensembl:ENSG00000163162,2,2q11.2,ring finger protein 149,protein-coding
21111,285016,ALKAL2,AUGA|FAM150B|PRO1097|RGPG542,HGNC:HGNC:27683|Ensembl:ENSG00000189292,2,2p25.3,ALK and LTK ligand 2,protein-coding
21112,285025,CCDC141,CAMDI,MIM:616031|HGNC:HGNC:26821|Ensembl:ENSG00000163492,2,2q31.2,coiled-coil domain containing 141,protein-coding
21116,285051,STPG4,C2orf61|GSE,HGNC:HGNC:26850|Ensembl:ENSG00000239605,2,2p21,sperm-tail PG-rich repeat containing 4,protein-coding
21120,285093,RTP5,C2orf85|CXXC11|Z3CXXC5,HGNC:HGNC:26585|Ensembl:ENSG00000188011,2,2q37.3,receptor transporter protein 5 (putative),protein-coding
21126,285141,ERICH2,-,HGNC:HGNC:44395|Ensembl:ENSG00000204334,2,2q31.1,glutamate rich 2,protein-coding
21127,285148,IAH1,-,HGNC:HGNC:27696|Ensembl:ENSG00000134330,2,2p25.1,isoamyl acetate hydrolyzing esterase 1 (putative),protein-coding
21128,285150,FLJ33534,-,Ensembl:ENSG00000145063,2,2p25.1,uncharacterized LOC285150,ncRNA
21130,285172,FAM126B,HYCC2,HGNC:HGNC:28593|Ensembl:ENSG00000155744,2,2q33.1,family with sequence similarity 126 member B,protein-coding
21131,285175,UNC80,C2orf21|UNC-80,MIM:612636|HGNC:HGNC:26582|Ensembl:ENSG00000144406,2,2q34,"unc-80 homolog, NALCN channel complex subunit",protein-coding
21133,285180,RUFY4,ZFYVE31,HGNC:HGNC:24804|Ensembl:ENSG00000188282,2,2q35,RUN and FYVE domain containing 4,protein-coding
21135,285190,RGPD4,RGP4,MIM:612707|HGNC:HGNC:32417|Ensembl:ENSG00000196862,2,2q12.3,RANBP2 like and GRIP domain containing 4,protein-coding
21137,285193,DUSP28,DUSP26|VHP,HGNC:HGNC:33237|Ensembl:ENSG00000188542,2,2q37.3,dual specificity phosphatase 28,protein-coding
21139,285195,SLC9A9,AUTS16|NHE9,MIM:608396|HGNC:HGNC:20653|Ensembl:ENSG00000181804,3,3q24,solute carrier family 9 member A9,protein-coding
21140,285203,EOGT,AER61|AOS4|C3orf64|EOGT1,MIM:614789|HGNC:HGNC:28526|Ensembl:ENSG00000163378,3,3p14.1,EGF domain specific O-linked N-acetylglucosamine transferase,protein-coding
21141,285205,LINC00636,-,HGNC:HGNC:27702|Ensembl:ENSG00000240423,3,3q13.12,long intergenic non-protein coding RNA 636,ncRNA
21142,285220,EPHA6,EHK-2|EHK2|EK12|EPA6|HEK12|PRO57066,MIM:600066|HGNC:HGNC:19296|Ensembl:ENSG00000080224,3,3q11.2,EPH receptor A6,protein-coding
21144,285231,FBXW12,FBW12|FBXO12|FBXO35,MIM:609075|HGNC:HGNC:20729|Ensembl:ENSG00000164049,3,3p21.31,F-box and WD repeat domain containing 12,protein-coding
21146,285237,C3orf38,-,HGNC:HGNC:28384|Ensembl:ENSG00000179021,3,3p11.1,chromosome 3 open reading frame 38,protein-coding
21147,285242,HTR3E,5-HT3-E|5-HT3E|5-HT3c1,MIM:610123|HGNC:HGNC:24005|Ensembl:ENSG00000186038,3,3q27.1,5-hydroxytryptamine receptor 3E,protein-coding
21150,285267,ZNF619,-,HGNC:HGNC:26910|Ensembl:ENSG00000177873,3,3p22.1,zinc finger protein 619,protein-coding
21151,285268,ZNF621,-,HGNC:HGNC:24787|Ensembl:ENSG00000172888,3,3p22.1,zinc finger protein 621,protein-coding
21152,285282,RABL3,-,HGNC:HGNC:18072|Ensembl:ENSG00000144840,3,3q13.33,"RAB, member of RAS oncogene family like 3",protein-coding
21156,285311,C3orf56,-,HGNC:HGNC:32481|Ensembl:ENSG00000214324,3,3q21.3,chromosome 3 open reading frame 56,protein-coding
21157,285313,IGSF10,CMF608,MIM:617351|HGNC:HGNC:26384|Ensembl:ENSG00000152580,3,3q25.1,immunoglobulin superfamily member 10,protein-coding
21159,285315,C3orf33,AC3-33,HGNC:HGNC:26434|Ensembl:ENSG00000174928,3,3q25.31,chromosome 3 open reading frame 33,protein-coding
21162,285331,CCDC66,-,HGNC:HGNC:27709|Ensembl:ENSG00000180376,3,3p14.3,coiled-coil domain containing 66,protein-coding
21165,285346,ZNF852,-,HGNC:HGNC:27713|Ensembl:ENSG00000178917,3,3p21.31,zinc finger protein 852,protein-coding
21166,285349,ZNF660,-,HGNC:HGNC:26720|Ensembl:ENSG00000144792,3,3p21.31,zinc finger protein 660,protein-coding
21169,285362,SUMF1,AAPA3037|FGE|UNQ3037,MIM:607939|HGNC:HGNC:20376|Ensembl:ENSG00000144455,3,3p26.1,sulfatase modifying factor 1,protein-coding
21170,285367,RPUSD3,-,MIM:617759|HGNC:HGNC:28437|Ensembl:ENSG00000156990,3,3p25.3,RNA pseudouridine synthase D3,protein-coding
21171,285368,PRRT3,-,HGNC:HGNC:26591|Ensembl:ENSG00000163704,3,3p25.3,proline rich transmembrane protein 3,protein-coding
21174,285381,DPH3,DELGIP|DELGIP1|DESR1|DPH3A|KTI11|ZCSL2,MIM:608959|HGNC:HGNC:27717|Ensembl:ENSG00000154813,3,3p25.1,diphthamide biosynthesis 3,protein-coding
21176,285386,TPRG1,FAM79B,HGNC:HGNC:24759|Ensembl:ENSG00000188001,3,3q28,tumor protein p63 regulated 1,protein-coding
21185,285429,DCAF4L1,WDR21B,HGNC:HGNC:27723|Ensembl:ENSG00000182308,4,4p13,DDB1 and CUL4 associated factor 4 like 1,protein-coding
21186,285440,CYP4V2,BCD|CYP4AH1,MIM:608614|HGNC:HGNC:23198|Ensembl:ENSG00000145476,4,4q35.1-q35.2,cytochrome P450 family 4 subfamily V member 2,protein-coding
21193,285489,DOK7,C4orf25|CMS10|CMS1B|FADS3,MIM:610285|HGNC:HGNC:26594|Ensembl:ENSG00000175920,4,4p16.3,docking protein 7,protein-coding
21201,285521,COX18,COX18HS,MIM:610428|HGNC:HGNC:26801|Ensembl:ENSG00000163626,4,4q13.3,cytochrome c oxidase assembly factor COX18,protein-coding
21203,285527,FRYL,AF4p12|KIAA0826|MOR2,HGNC:HGNC:29127|Ensembl:ENSG00000075539,4,4p11,FRY like transcription coactivator,protein-coding
21204,285533,RNF175,-,HGNC:HGNC:27735|Ensembl:ENSG00000145428,4,4q31.3,ring finger protein 175,protein-coding
21208,285550,FAM200B,C4orf53,HGNC:HGNC:27740|Ensembl:ENSG00000237765,4,4p15.32,family with sequence similarity 200 member B,protein-coding
21209,285555,STPG2,C4orf37,HGNC:HGNC:28712|Ensembl:ENSG00000163116,4,4q22.3-q23,sperm tail PG-rich repeat containing 2,protein-coding
21213,285590,SH3PXD2B,FAD49|FTHS|HOFI|KIAA1295|TKS4|TSK4,MIM:613293|HGNC:HGNC:29242|Ensembl:ENSG00000174705,5,5q35.1,SH3 and PX domains 2B,protein-coding
21216,285596,FAM153A,NY-REN-7,HGNC:HGNC:29940|Ensembl:ENSG00000170074,5,5q35.3,family with sequence similarity 153 member A,protein-coding
21217,285598,ARL10,ARL10A,HGNC:HGNC:22042|Ensembl:ENSG00000175414,5,5q35.2,ADP ribosylation factor like GTPase 10,protein-coding
21218,285600,KIAA0825,C5orf36|PAPA10,MIM:617266|HGNC:HGNC:28532|Ensembl:ENSG00000185261,5,5q15,KIAA0825,protein-coding
21220,285605,DTWD2,-,HGNC:HGNC:19334|Ensembl:ENSG00000169570,5,5q23.1,DTW domain containing 2,protein-coding
21221,285613,RELL2,C5orf16,MIM:611213|HGNC:HGNC:26902|Ensembl:ENSG00000164620,5,5q31.3,RELT like 2,protein-coding
21222,285622,NBPF22P,-,HGNC:HGNC:28731,5,5q14.3,"NBPF member 22, pseudogene",pseudo
21227,285636,C5orf51,-,HGNC:HGNC:27750|Ensembl:ENSG00000205765,5,5p13.1,chromosome 5 open reading frame 51,protein-coding
21229,285641,SLC36A3,PAT3|TRAMD2|tramdorin2,MIM:608332|HGNC:HGNC:19659|Ensembl:ENSG00000186334,5,5q33.1,solute carrier family 36 member 3,protein-coding
21230,285643,KIF4B,-,MIM:609184|HGNC:HGNC:6322|Ensembl:ENSG00000226650,5,5q33.2,kinesin family member 4B,protein-coding
21233,285668,C5orf64,-,HGNC:HGNC:26744|Ensembl:ENSG00000178722,5,5q12.1,chromosome 5 open reading frame 64,ncRNA
21234,285671,RNF180,RINES,MIM:616015|HGNC:HGNC:27752|Ensembl:ENSG00000164197,5,5q12.3,ring finger protein 180,protein-coding
21235,285672,SREK1IP1,P18SRP|SFRS12IP1,HGNC:HGNC:26716|Ensembl:ENSG00000153006,5,5q12.3,SREK1 interacting protein 1,protein-coding
21236,285676,ZNF454,-,HGNC:HGNC:21200|Ensembl:ENSG00000178187,5,5q35.3,zinc finger protein 454,protein-coding
21237,285679,C5orf60,-,HGNC:HGNC:27753|Ensembl:ENSG00000204661,5,5q35.3,chromosome 5 open reading frame 60,protein-coding
21241,285704,RGMB,DRAGON,MIM:612687|HGNC:HGNC:26896|Ensembl:ENSG00000174136,5,5q15,repulsive guidance molecule BMP co-receptor b,protein-coding
21248,285753,CEP57L1,C6orf182|bA487F23.2|cep57R,HGNC:HGNC:21561|Ensembl:ENSG00000183137,6,6q21,centrosomal protein 57 like 1,protein-coding
21249,285755,PPIL6,PPIase|RSPH12|bA425D10.6|dJ919F19.1,HGNC:HGNC:21557|Ensembl:ENSG00000185250,6,6q21,peptidylprolyl isomerase like 6,protein-coding
21252,285761,DCBLD1,dJ94G16.1,HGNC:HGNC:21479|Ensembl:ENSG00000164465,6,6q22.1,"discoidin, CUB and LCCL domain containing 1",protein-coding
21257,285782,CAGE1,CT3|CT95|CTAG3|bA69L16.7,MIM:608304|HGNC:HGNC:21622|Ensembl:ENSG00000164304,6,6p24.3,cancer antigen 1,protein-coding
21266,285847,LOC285847,-,-,6,6p21.31,uncharacterized LOC285847,ncRNA
21267,285848,PNPLA1,ARCI10|dJ50J22.1,MIM:612121|HGNC:HGNC:21246|Ensembl:ENSG00000180316,6,6p21.31,patatin like phospholipase domain containing 1,protein-coding
21270,285855,RPL7L1,dJ475N16.4,MIM:617417|HGNC:HGNC:21370|Ensembl:ENSG00000146223,6,6p21.1,ribosomal protein L7 like 1,protein-coding
21275,285888,CNPY1,-,MIM:612493|HGNC:HGNC:27786|Ensembl:ENSG00000146910,7,7q36.3,canopy FGF signaling regulator 1,protein-coding
